Species,Class,Label,Uniquely.mapped.rate,1-Unmapped.rate,1-Multiple.mapped.rate,Quantification.rate,1-Quantification.failure.rate.due.to.absence.of.annotation,1-Quantification.failure.rate.due.to.ambiguity,Scaled.transcripts.diversity.PCA,Scaled.adj.N50.in.contig,Scaled.adj.N50.in.scaffold,Scaled.non.spanned.gaps.rates,NGS applicability index
Oncorhynchus kisutch,Actinopteri,Actinopteri,0.778916667,0.91389,0.865026667,0.579894492,0.787230814,0.9909519,0.179092233,0.4947368,0.5157895,0.982966591,0.708849566
Oncorhynchus mykiss,Actinopteri,Actinopteri,0.763316667,0.85332,0.909993333,0.306724114,0.893791119,0.994654005,0.310875972,0.7263158,0.4526316,0.998945412,0.721056802
Oncorhynchus tshawytscha,Actinopteri,Actinopteri,0.656893333,0.75255,0.90436,0.473042005,0.755476312,0.990142583,0.165877088,0.3368421,0.05263158,0.805304939,0.589311994
Oreochromis niloticus,Actinopteri,Actinopteri,0.756613333,0.816186667,0.94043,0.61572989,0.819625376,0.983434735,0.218682944,0.6,0.6210526,0.99799992,0.736975547
Oryctolagus cuniculus,Mammalia,Mammalia,0.73646,0.814396667,0.922063333,0.410132582,0.613793892,0.977769845,0.466959964,0.1473684,0.4421053,0.706511897,0.623756188
Oryzias latipes,Actinopteri,Actinopteri,0.770093333,0.807123333,0.96297,0.641578403,0.881928057,0.949915958,0.017718293,0.6315789,0.7157895,0.998214474,0.737691025
Oryzias melastigma,Actinopteri,Actinopteri,0.74892,0.788986667,0.95995,0.625461743,0.86614058,0.957424405,0.005069011,0.2736842,0.5473684,0.826640338,0.659964534
Ovis aries,Mammalia,Livestock,0.732936667,0.81904,0.91391,0.241323085,0.831765002,0.989757602,0.300774493,0.05263158,0.6105263,0.545192717,0.603785745
Pan paniscus,Mammalia,Mammalia,0.578983333,0.600463333,0.978523333,0.412442255,0.774533094,0.990034864,0.389070065,0.1368421,0.1789474,0.598631218,0.5638471
Pan troglodytes,Mammalia,Mammalia,0.814636667,0.856306667,0.958336667,0.13961647,0.699264619,0.99822924,0.396188172,0.4,0.3578947,0.902850659,0.652332386
Papio anubis,Mammalia,Mammalia,0.764643333,0.9073,0.857356667,0.232551219,0.826870556,0.997556226,0.481289843,0.5157895,0.8315789,0.985206681,0.740014293
Paramormyrops kingsleyae,Actinopteri,Actinopteri,0.747163333,0.763516667,0.983646667,0.550561006,0.74340764,0.978357681,0.022512653,0.3157895,0.1578947,0.842422788,0.610527264
Parus major,Aves,Aves,0.873406667,0.896016667,0.977393333,0.530014213,0.656796031,0.968415389,0.41232923,0.4105263,0.9157895,0.918654928,0.755934226
Pelodiscus sinensis,Reptilia,Reptilia,0.69677,0.732326667,0.964426667,0.430907284,0.676360066,0.992695416,0.052512282,0.03157895,0.1263158,0.325514839,0.502940797
Phascolarctos cinereus,Mammalia,Mammalia,0.749883333,0.87879,0.871103333,0.468619704,0.693378136,0.995978717,0.322664763,0.6526316,0.2526316,1,0.688568119
Podarcis muralis,Lepidosauria,Lepidosauria,0.772623333,0.80646,0.96616,0.498549578,0.666792415,0.996661318,0.098473099,0.4842105,0.8842105,0.98514486,0.71592856
Poecilia latipinna,Actinopteri,Actinopteri,0.71683,0.788133333,0.9287,0.56370177,0.793258833,0.985360011,0.000423497,0.2947368,0.01052632,0.866769216,0.594843978
Poecilia reticulata,Actinopteri,Actinopteri,0.851423333,0.871626667,0.9798,0.330321587,0.87612512,0.991562811,0,0.3473684,0.3473684,0.865030965,0.646062728
Pundamilia nyererei,Actinopteri,Actinopteri,0.673713333,0.6906,0.98311,0.471834889,0.74653118,0.98364346,0.019511336,0.2,0.2,0.778838426,0.574778262
Rattus norvegicus,Mammalia,Mammalia,0.86847,0.907323333,0.961156667,0.359169311,0.909416377,0.98783762,0.331174039,0.8210526,0.8526316,0.997887188,0.799611874
Rhinolophus ferrumequinum,Mammalia,Mammalia,0.779083333,0.80218,0.97689,0.340731348,0.89144886,0.988523952,0.141710693,0.8631579,0.7052632,0.999436341,0.748842563
Rhinopithecus roxellana,Mammalia,Mammalia,0.809183333,0.87275,0.93645,0.323490085,0.893555254,0.991171233,0.322696554,0.1894737,0.04210526,0.777114721,0.615799014
Saccharomyces cerevisiae,Saccharomycetes,Saccharomycetes,0.824953333,0.920913333,0.904026667,0.396143586,0.985904684,0.976196877,0.067390909,0.9789474,0.9263158,1,0.798079259
Salmo salar,Actinopteri,Actinopteri,0.75456,0.880153333,0.874393333,0.605011465,0.892375034,0.926838977,0.479993252,0.8105263,0.4,1,0.762385169
Sander lucioperca,Actinopteri,Actinopteri,0.63886,0.693323333,0.94556,0.275694096,0.909222381,0.9913493,0.068022026,0.6947368,0.3157895,0.999872722,0.653243016
Sarcophilus harrisii,Mammalia,Mammalia,0.42943,0.44983,0.979613333,0.24850566,0.820138182,0.976728811,0.308943381,0.9473684,1,0.998767223,0.715932499
Scophthalmus maximus,Actinopteri,Actinopteri,0.888786667,0.93019,0.958596667,0.655679131,0.753181386,0.983935714,0.460196923,0.9684211,0.8105263,0.999814538,0.840932843
Seriola dumerili,Actinopteri,Actinopteri,0.802353333,0.851963333,0.950373333,0.359134512,0.937802509,0.984562792,0.010215513,0.4526316,0.3684211,0.976246323,0.669370435
Sparus aurata,Actinopteri,Actinopteri,0.750023333,0.798873333,0.951143333,0.325118751,0.920440008,0.992522121,0.124900856,0.6105263,0.7368421,0.996188938,0.720657907
Sus scrofa,Mammalia,Livestock,0.7401,0.77565,0.964456667,0.281888351,0.887792041,0.971231739,0.625902066,0.9368421,0.5894737,0.998498122,0.777183479
Taeniopygia guttata,Aves,Aves,0.727563333,0.74768,0.979896667,0.330932875,0.930585042,0.986637695,0.408334855,0.8315789,0.9052632,0.998876319,0.784734889
Takifugu rubripes,Actinopteri,Actinopteri,0.783693333,0.871626667,0.91206,0.654345196,0.876877288,0.950131869,0.163101009,0.7473684,0.7578947,0.998538123,0.771563659
Ursus maritimus,Mammalia,Mammalia,0.738323333,0.803666667,0.93466,0.519052849,0.741151235,0.979371982,0.32607621,0.1263158,0.3368421,0.598736677,0.610419685
Xenopus tropicalis,Amphibia,Amphibia,0.67373,0.89885,0.774876667,0.599516517,0.919944703,0.97413505,0.107934521,0.8,0.9473684,0.997512628,0.769386849
Xiphophorus maculatus,Actinopteri,Actinopteri,0.76279,0.793513333,0.96928,0.725126772,0.830839007,0.960782621,0.002264934,0.8421053,0.7894737,0.999432705,0.767560837
